target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL465170,CCCC(=O)/N=C(\N)NCCCc1c[nH]cn1,EC50,141.25,nM,=,6.85
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL471724,CC(C)C(=O)/N=C(\N)NCCCc1c[nH]cn1,EC50,109.65,nM,=,6.96
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL483406,CC(CC(=O)/N=C(\N)NCCCc1c[nH]cn1)c1ccccc1,Activity,0.87,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL325327,N=C(N)NCCCc1c[nH]cn1,Activity,0.66,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL474447,N/C(=N\C(=O)Cc1c[nH]c2ccccc12)NCCCc1c[nH]cn1,Activity,0.81,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL514641,N/C(=N\C(=O)CCc1c[nH]c2ccccc12)NCCCc1c[nH]cn1,Activity,0.77,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL474448,N/C(=N\C(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,Activity,0.87,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL474449,N/C(=N\C(=O)CNC(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,Activity,0.51,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL515428,N/C(=N\C(=O)CCNC(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,Activity,0.33,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL474617,CN(CCC(=O)/N=C(\N)NCCCc1c[nH]cn1)C(=O)c1cc2ccccc2[nH]1,Activity,0.68,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL475620,N/C(=N\C(=O)CCCNC(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,Activity,0.51,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL443896,CC(=O)/N=C(\N)NCCCc1c[nH]cn1,Activity,0.76,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL475621,CCC(=O)/N=C(\N)NCCCc1c[nH]cn1,Activity,0.83,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL465170,CCCC(=O)/N=C(\N)NCCCc1c[nH]cn1,Activity,0.77,,=,
HRH2,P25021,CHEMBL1941,CHEMBL1015359,CHEMBL471724,CC(C)C(=O)/N=C(\N)NCCCc1c[nH]cn1,Activity,0.86,,=,
