target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5924974,COc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)ccc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5924974,COc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5993257,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cnn(C(F)F)c5)cc34)CC2)[nH]c1-c1ccc(F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5993257,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cnn(C(F)F)c5)cc34)CC2)[nH]c1-c1ccc(F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5926037,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6cnn(C(F)F)c6)cc45)CC3)nc2C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5926037,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6cnn(C(F)F)c6)cc45)CC3)nc2C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5965068,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(F)cc5)cc34)CC2)[nH]c1-c1ccc2c(c1)OC(F)(F)O2,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5965068,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(F)cc5)cc34)CC2)[nH]c1-c1ccc2c(c1)OC(F)(F)O2,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5884812,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(C#N)cc5)cc34)CC2)[nH]c1-c1ccc2c(c1)OC(F)(F)O2,Ki,150000.0,nM,=,
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5884812,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(C#N)cc5)cc34)CC2)[nH]c1-c1ccc2c(c1)OC(F)(F)O2,Ki,500.0,nM,=,6.30
