keyword,assay_chembl_id,assay_description,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value
RBL-2H3,CHEMBL769875,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 10 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,89.0,%,=,,
RBL-2H3,CHEMBL769875,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 10 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,32.4,%,=,,
RBL-2H3,CHEMBL769875,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 10 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,89.0,%,=,,
RBL-2H3,CHEMBL769876,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 100 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,87.2,%,=,,
RBL-2H3,CHEMBL769877,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 100 uM concentration; ND means no data,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,,%,,Not Determined,
RBL-2H3,CHEMBL769877,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 100 uM concentration; ND means no data,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,,%,,Not Determined,
RBL-2H3,CHEMBL769878,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 3 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,25.0,%,=,,
RBL-2H3,CHEMBL769878,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 3 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,5.4,%,,Not Tested,
RBL-2H3,CHEMBL769878,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 3 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,25.0,%,=,,
RBL-2H3,CHEMBL769879,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 30 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,101.3,%,=,,
RBL-2H3,CHEMBL769879,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 30 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,66.9,%,=,,
RBL-2H3,CHEMBL769879,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 30 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,101.3,%,=,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL145847,C[C@@H](/N=C(\S)Nc1ccc(Cl)cn1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
