smiles,tanimoto_to_SFN,best_seed_match,qed,sa_score_proxy,lipinski_pass,mw,logp,composite_score,seed,source
CN/C(=C\[N+](=O)[O-])NCCSCc1cc(CCS(=O)CCCN=C=S)c(CN(C)C)o1,0.2676,Iberin,0.1118,3.07,True,489.69,2.24,0.3058,Sulforaphane,local_brics_bioisostere
O=c1c(O)c(-c2cc(O)c(O)cc2CCS(=O)CCCN=C=S)oc2cc(O)cc(O)c12,0.3103,Iberin,0.1421,4.64,True,477.52,2.77,0.3001,Sulforaphane,local_brics_bioisostere
CN/C(=C\[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1CCS(=O)CCCN=C=S,0.25,Iberin,0.1118,3.07,True,489.69,2.24,0.2987,Sulforaphane,local_brics_bioisostere
O=c1c(O)c(-c2cc(O)c(O)c(CCS(=O)CCCN=C=S)c2)oc2cc(O)cc(O)c12,0.2833,Iberin,0.1421,4.64,True,477.52,2.77,0.2893,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1ccccc1C(c1ccc(Cl)cc1)N1CCN(CCOCCO)CC1,0.25,Iberin,0.2068,5.22,False,550.19,3.84,0.0,Sulforaphane,local_brics_bioisostere
COc1cc([C@H]2Oc3c(ccc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)c3CCS(=O)CCCN=C=S)O[C@@H]2CO)ccc1O,0.2169,Iberin,0.1155,8.8,False,657.72,3.15,0.0,Sulforaphane,local_brics_bioisostere
O=C(/C=C/c1cc(O)c(O)c(CCS(=O)CCCN=C=S)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,0.2647,Iberin,0.064,4.72,False,535.6,2.55,0.0,Sulforaphane,local_brics_bioisostere
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2CCS(=O)CCCN=C=S)ccc1O,0.3016,Iberin,0.1129,4.04,False,543.66,4.15,0.0,Sulforaphane,local_brics_bioisostere
O=C(O)c1cc(=O)c2c(OCC(O)COc3ccc4oc(C(=O)O)cc(=O)c4c3CCS(=O)CCCN=C=S)cccc2o1,0.2609,Phenethyl_isothiocyanate,0.097,6.28,False,643.65,2.9,0.0,Sulforaphane,local_brics_bioisostere
O=C1CC[C@@]2(O)[C@H]3Cc4c(CCS(=O)CCCN=C=S)cc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.2179,Iberin,0.2952,8.5,False,516.69,2.31,0.0,Sulforaphane,local_brics_bioisostere
O=C(O)COCCN1CCN(C(c2ccc(Cl)cc2)c2ccccc2CCS(=O)CCCN=C=S)CC1,0.2647,Phenethyl_isothiocyanate,0.1996,5.24,False,564.17,3.93,0.0,Sulforaphane,local_brics_bioisostere
O=C1CC[C@@]2(O)[C@H]3Cc4cc(CCS(=O)CCCN=C=S)c(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.2179,Iberin,0.2952,8.5,False,516.69,2.31,0.0,Sulforaphane,local_brics_bioisostere
CCOC(=O)N1CCC(=C2c3cc(CCS(=O)CCCN=C=S)c(Cl)cc3CCc3cccnc32)CC1,0.2338,Iberin,0.2374,5.04,False,558.17,5.67,0.0,Sulforaphane,local_brics_bioisostere
O=C(/C=C/c1cc(O)c(O)cc1CCS(=O)CCCN=C=S)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,0.2812,Iberin,0.064,4.72,False,535.6,2.55,0.0,Sulforaphane,local_brics_bioisostere
CCOC(=O)N1CCC(=C2c3ncccc3CCc3cc(Cl)cc(CCS(=O)CCCN=C=S)c32)CC1,0.24,Iberin,0.2374,5.04,False,558.17,5.67,0.0,Sulforaphane,local_brics_bioisostere
O=C(O)COCCN1CCN(C(c2ccc(Cl)cc2)c2cccc(CCS(=O)CCCN=C=S)c2)CC1,0.2879,Phenethyl_isothiocyanate,0.1996,5.24,False,564.17,3.93,0.0,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1cccc(C(c2ccc(Cl)cc2)N2CCN(CCOCCO)CC2)c1,0.2727,Phenethyl_isothiocyanate,0.2068,5.22,False,550.19,3.84,0.0,Sulforaphane,local_brics_bioisostere
COc1c(O)ccc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)c1CCS(=O)CCCN=C=S,0.2195,Iberin,0.1155,8.8,False,657.72,3.15,0.0,Sulforaphane,local_brics_bioisostere
O=C(O)c1cc(=O)c2c(OCC(O)COc3ccc4oc(C(=O)O)c(CCS(=O)CCCN=C=S)c(=O)c4c3)cccc2o1,0.225,Phenethyl_isothiocyanate,0.097,6.28,False,643.65,2.9,0.0,Sulforaphane,local_brics_bioisostere
O=C(O[C@@H]1Cc2c(cc(O)c(CCS(=O)CCCN=C=S)c2O)O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0.25,Iberin,0.0529,6.86,False,633.65,3.02,0.0,Sulforaphane,local_brics_bioisostere
O=C(O[C@@H]1Cc2c(O)cc(O)c(CCS(=O)CCCN=C=S)c2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0.2537,Iberin,0.0529,6.86,False,633.65,3.02,0.0,Sulforaphane,local_brics_bioisostere
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(O)cc2CCS(=O)CCCN=C=S)ccc1O,0.3065,Iberin,0.1129,4.04,False,543.66,4.15,0.0,Sulforaphane,local_brics_bioisostere
C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3CCS(=O)CCCN=C=S)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,0.24,Iberin,0.0668,8.86,False,639.66,0.98,0.0,Sulforaphane,local_brics_bioisostere
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)c(CCS(=O)CCCN=C=S)s1,0.2812,Iberin,0.1144,3.05,False,512.73,0.02,0.0,Sulforaphane,local_brics_bioisostere
